id,科目,章,問題種別,年度,問題番号,問題文,論点
1,生保1,1,所見,2018,問題3（1）,低・無解約返戻金型商品における契約者間の公平性と契約者理解を説明したうえで、死亡者の持分を生存者へ移転して年金額を高める、平準払・終身年金型の個人年金保険について、商品設計、予定死亡率、解約益と将来利益、販売後管理を論じる問題。,"【出題の軸】
- トンチン性による年金額向上と、死亡・解約時の受取額を抑えることによる契約者保護上の問題を両立させる。
- 解約益を短期的な利益としてのみ捉えず、残存契約の将来利益・長寿リスクとの関係で評価する。
【必答論点】
- 解約返戻金が死亡保険金を上回ると、死亡直前の解約可否を知る契約者と知らない契約者の間に不公平が生じるため、原則として解約返戻金は死亡保険金以下とする。
- 低・無解約返戻金型は保険料を低廉化できる一方、長期間経過後のやむを得ない解約でも返戻金が少ない。加入時だけでなく将来の具体的な返戻率を示し、十分な理解を得る。
- 年金開始前は死亡給付・解約返戻金を抑え、年金開始後は保証期間を短くするほどトンチン性が高まるが、社会的容認性と年金開始前後の公平性を考慮する。
- 予定死亡率は長寿化を保守的に見込み、死亡改善の不確実性、選択効果、年齢別データの信頼性を反映する。
- 予定利率は長期ALMと再投資リスク、予定事業費は説明・生存確認コストとインフレを織り込む。
【答案構成】
- 公平性・契約者理解→商品設計→基礎率→収益検証→販売・モニタリングの順に書く。
【差がつく論点】
- 解約率上昇は当初の解約益を増やす一方、将来の死差益・利差益を減らすため、上下双方の解約率ストレスを行う。
- 初期の解約益を将来の解約損・長寿悪化に備えて内部留保し、恒常的な利益は配当等で還元する視点を示す。"
2,生保1,1,所見,2018,問題3（2）,保険料率の細分化で考慮すべき公平性を説明し、日常的な運動習慣などのライフスタイルを死亡保障商品の料率または商品設計へ反映する場合の、リスク区分、データ、危険選択、価格設定、契約者保護を論じる問題。,"【出題の軸】
- 保険技術的公平性だけを追求せず、社会的公平性、プライバシー、説明可能性を含めて料率区分の妥当性を判断する。
【必答論点】
- 同一料率群団は同程度の危険を有することが望ましく、リスクに応じた細分化は逆選択を抑え公平な保険料負担に資する。
- ただし完全な均質化は不可能であり、細分化し過ぎると高リスク者が著しく高額となる。私保険の公共性を踏まえ社会的容認性を確認する。
- ライフスタイル指標には、死亡率との統計的関連、群団の同質性、十分な母数、客観的な測定可能性、明確な定義、将来予測可能性、本人の制御可能性が必要。
- 歩数・運動量等は自己申告だけに依存せず、ウェアラブル等のデータ品質、改ざん、欠測、端末差を管理する。
- 加入時のみの判定では生活習慣が変化するため、更新型・短期保障・定期的な料率見直し・健康還付金などを検討する。
- 医的査定・環境査定との整合、告知義務、他社との差による優良体流出・残存群団の悪化を確認する。
【答案構成】
- 公平性の原則→リスクファクターの要件→商品設計→価格・危険選択→運用管理の順に整理する。
【差がつく論点】
- 健康増進インセンティブは望ましいが、病気・障害等により運動できない人への差別にならない設計とする。
- 有配当化や見直し可能な料率によりデータ不足を補完し、販売後に死亡指数・群団構成・離脱行動を検証する。"
3,生保1,1,所見,2019,問題3（1）,社会保険制度に給付事由が連動する第三分野商品の予定発生率が予定死亡率より設定困難な理由を説明し、公的介護保険の要介護認定後に終身年金を支払う平準払介護終身年金保険について、発生率設定と収支不確実性の制御を論じる問題。,"【出題の軸】
- 医療・介護発生率の不確実性と、公的制度変更リスクを商品設計・基礎率・販売管理で多層的に制御する。
【必答論点】
- 第三分野は死亡より給付事由の判定が主観的で、医療技術、受診行動、経済・社会環境の影響を受けやすい。
- 統計の観察期間が短く、診断・認定基準の変更で時系列の同質性が失われる。社会保険制度自体や要介護定義も改定され得る。
- 予定発生率は公的介護データ、自社データ、再保険会社等の知見を組み合わせ、選択効果、待機期間、地域差、認定率トレンドを補整する。
- 給付開始後は状態が改善しても終身給付するため、発生率だけでなく給付開始後死亡率・長寿化が収支を大きく左右する。
- 予定利率、解約率、事業費、インフレも含め、十分性・公平性・収益性を確認する。
- 給付要件、免責・待機期間、年金額上限、基礎率変更権、制度改定時の取扱い、再保険を検討する。
【答案構成】
- 困難性→データと補整→商品設計→基礎率→収益・ストレス→事後管理の順に書く。
【差がつく論点】
- 制度連動は顧客に分かりやすい反面、制度変更を保険会社が制御できない。約款上の連動方法と不利益変更への対応を明確にする。
- 発生率上昇と長寿化の複合ストレス、販売量急増時の資本負担を検証し、販売上限・停止・再開トリガーを事前設定する。"
4,生保1,1,所見,2019,問題3（2）,国内金利上昇、死亡率低下、自分の余命を高精度に推定できる技術の普及、未婚率上昇という四つの環境変化から三つを選び、生命保険会社への影響、商品開発上の対応策と留意点を論じる問題。,"【出題の軸】
- 環境変化を単なる商品アイデアに結び付けず、既契約、新契約、ALM、逆選択、顧客ニーズ、収益性への波及まで示す。
【国内金利上昇】
- 新規投資利回りと新契約の価格競争力は改善する一方、既契約の解約増、債券売却損、流動性悪化が生じ得る。
- 利率変動型、利差配当、MVA、予定利率の機動的改定を検討し、動的解約率を用いたALM・ストレスを行う。
【死亡率低下】
- 死亡保障商品の死差収支は改善し得るが、終身年金・介護・医療では長寿化により給付増となる。
- 死亡率改善を基礎率へ反映し、保障と年金を組み合わせたポートフォリオ、長寿再保険、価格改定を検討する。
【余命推定技術】
- 高リスク者だけが死亡保障へ、長寿見込み者だけが年金へ加入する逆選択が強まる。
- 同等情報の取得、危険選択、加入金額・年齢制限、待機期間、データ利用同意とプライバシー管理が必要。
【未婚率上昇】
- 遺族保障ニーズが低下する一方、老後資金、就業不能、医療・介護、葬儀・身元保証の自己準備ニーズが高まる。
- 小口・モジュール型保障、個人年金、介護、受取人・信託機能、デジタル販売を検討する。
【差がつく論点】
- 各変化を独立に扱わず、金利上昇と大量解約、死亡率低下と年金需要増など、相互作用を収益検証へ反映する。"
5,生保1,1,所見,2020,問題3（1）,危険選択の目的と医的査定・環境査定を説明したうえで、インターネットチャネルで告知書扱いのみの平準払終身保険を販売する場合の、商品設計、価格設定、危険選択、他チャネル・他社商品との関係、リスク管理を論じる問題。,"【出題の軸】
- 非対面の利便性・低コストと、情報量不足による逆選択・モラルリスクを価格と取扱範囲で均衡させる。
【必答論点】
- 危険選択は高リスク者の選択的加入と道徳的危険を排除し、同じ危険度の契約者を公平に扱い、大数の法則が機能する群団を形成するために行う。
- 医的査定は健康状態・既往症等、環境査定は職業、収入、保障額の妥当性、保険料負担力、契約動機等を確認する。
- インターネットでは対面追加質問や診査が難しいため、告知項目の明確化、ノックアウト方式、事前査定、本人確認、不正検知を整備する。
- 加入年齢・保険金額上限を抑え、免責・削減期間、無解約返戻金型等でリスクを限定する。
- 予定死亡率には告知扱い群団の悪化、チャネル選択、他社査定基準との差を反映し、安全割増と再保険を検討する。
- 事業費は営業職員手数料が減る一方、広告、IT、本人確認、コールセンター、保守費を見込む。
【答案構成】
- 危険選択の原則→ネット固有の課題→商品・料率→チャネル間公平→モニタリングの順に整理する。
【差がつく論点】
- 自社の営業職員商品より高い・低い保険料になる理由を説明し、加入機会逸失やチャネル間カニバリゼーションを管理する。
- 販売後に死亡指数、告知義務違反、保険金額、広告経路別の質を監視し、上限変更・査定強化・販売停止を行う。"
6,生保1,1,所見,2020,問題3（2）,商品毎収益検証の目的と、シナリオ設定・モデル構築・モデルポイント選定の三手順を説明し、保険料払込期間中の解約返戻金を抑えた低解約返戻金型の平準払終身保険について、解約率シナリオと検証結果の活用を論じる問題。,"【出題の軸】
- 解約率を単一の上下シナリオで扱わず、払込中と払込満了後で利益への方向が変わる商品特性を捉える。
【必答論点】
- 商品毎収益検証は、商品キャッシュフローの特性と、個別商品が全社の収益性・健全性へ与える影響を把握するために行う。
- 手順は、重要な金利・死亡率・解約率等のシナリオ設定、目的に合うキャッシュフローモデル構築、代表性と計算効率を両立するモデルポイント選定・検証である。
- 払込中は責任準備金が解約返戻金を上回り、解約により利益が生じやすい。解約率が予定より低いと利益が悪化し得る。
- 払込満了時には返戻率が跳ね上がるクリフがあり、その後は高解約が将来利益・運用収益を失わせる。
- 金利上昇、競合商品の登場、家計悪化、インフレ、営業職員のフォロー等と整合する動的解約率を設定する。
- ベース、感応度、複合ストレス、リバースストレスを実施し、収益性・健全性・流動性を確認する。
【答案構成】
- 検証目的と三手順→商品特性→解約シナリオ→検証→経営活用の順に書く。
【差がつく論点】
- 「解約率上昇＝常に悪化」ではない。払込中は低解約、満了後は高解約という組合せが厳しいため、経過別に逆方向のストレスを置く。
- 結果を料率、返戻率カーブ、販売上限、ALM、継続施策、内部留保・資本計画へ反映する。"
7,生保1,1,所見,2021,問題3（1）,第三分野の予定発生率設定に自社データと公開データを使う場合の長所・短所を説明し、器質性認知症の診断を給付事由とする平準払・終身保障の認知症保険について、商品設計、基礎率、医療技術・制度変化、リスク管理を論じる問題。,"【出題の軸】
- ニューリスクである認知症のデータ不足を認識し、複数データ、保守的プライシング、契約条件、販売後管理で補完する。
【必答論点】
- 自社データは商品・査定・顧客層との整合性が高く詳細分析できるが、母数が少なく観察期間も短い。公開データは大規模で安定するが、選択効果や給付定義が自社商品と異なる。
- 公的介護連動商品の実績を使う場合も、器質性認知症の診断基準、要介護条件、待機期間との差を補整する。
- 給付定義、診断確定、待機・不担保期間、給付額上限、契約年齢、死亡・解約返戻金の有無を設計する。
- 予定発生率は診断率上昇、長寿化、認知度向上、早期発見を反映し、予定死亡率は給付後の生存期間にも注意する。
- 無解約返戻金型では解約率が低くなり得る。予定利率、将来事業費・インフレも含めて検証する。
- 治療・予防技術の進展は発生率、支払時期、商品価値の双方を変え得る。
【答案構成】
- データ比較→商品・給付定義→基礎率→ストレス→リスク管理の順に整理する。
【差がつく論点】
- 発生指数だけでなく経過年数別、診断経路別、給付後生存率を監視する。
- 基礎率変更権、給付事由変更条項、販売上限・停止トリガー、再保険を検討し、顧客への分かりやすさと変更可能性を両立する。"
8,生保1,1,所見,2021,問題3（2）,確定年金・終身年金など個人年金の支払種類を説明したうえで、金利が緩やかまたは急激に上昇し得る環境下で一時払個人年金保険を再発売する場合の、安定供給、機動的な金利対応、長寿ニーズ、競争優位性、リスク管理を論じる問題。,"【出題の軸】
- 金利上昇局面の販売好機と、急上昇時の大量解約・資産売却損を同時に扱う。
【基礎知識】
- 確定年金は生死にかかわらず一定期間支払い、終身年金は生存中終身、有期年金は一定期間内の生存中に支払う。
- 保証期間付終身年金、夫婦年金、介護割増年金等は、死亡・介護リスクと顧客ニーズに応じて給付を変える。
【必答論点】
- 予定利率は新規投資利回り、資産デュレーション、再投資、ヘッジ、標準責任準備金負担を踏まえて設定する。
- 利率変動型や予定利率の高頻度改定により、金利上昇を機動的に契約者へ還元し、販売の停止・再開を減らす。
- MVAは金利上昇時の解約返戻金を市場価値に連動させ、資産売却損と流動性リスクを抑える。
- 低解約返戻金型、トンチン性、終身年金・介護年金の選択肢で長寿ニーズと競争力を高める。
- 年金開始時の選択、死亡給付、一時金化、保証期間を設計し、複雑性と顧客理解に配慮する。
【答案構成】
- 顧客ニーズ→商品設計→基礎率・ALM→販売政策→モニタリングの順に書く。
【差がつく論点】
- 金利上昇時には競合との利率差で販売量が急変するため、資産確保前の過大販売を防ぐ上限と改定ルールが必要。
- トンチン性やMVAは競争力を高めるが、元本割れ・死亡時受取減少を具体例で説明する。"
9,生保1,1,所見,2022,問題3（1）,商品開発・改定における事後モニタリングと改善アクション、医療保険の販売後フォローアップの必要性を説明し、低価格の無配当医療保険の収益性悪化について、一件当たり収益性と販売件数の両面から原因・改善策・副作用を論じる問題。,"【出題の軸】
- 一件当たり採算と販売量を分け、両者の組合せで会社全体の損益・リスク量が決まることを示す。
【必答論点】
- 事後モニタリングは、開発時前提と実績の乖離を把握し、料率・商品・査定・販売を改善するPDCAのために行う。
- 医療は発生率が医療技術、受診行動、感染症、制度、モラルリスクに左右されるため、発売後フォローが特に重要。
- 一件当たり悪化要因は、感染症による入院増、行動変容、発生率トレンド、安全割増不足、解約によるリスク濃縮、事業費・インフレ等。
- 改善策は料率改定、給付日数・免責・待機期間、査定、加入年齢・限度額、商品改定、販売停止等。
- 販売件数減少要因は競合商品、営業活動低下、価格・商品魅力の低下。件数増加でも一件当たり赤字なら全社損失が拡大する。
- チャネル変更、広告、手数料、簡易告知、対象拡大は件数を増やせるが、事業費増・危険率悪化・顧客本位との緊張がある。
【答案構成】
- 目的→A一件当たり→B件数→総合判断→モニタリングの順に明確に区分する。
【差がつく論点】
- 感染症が一過性か構造変化かを分け、恒久的な料率改定と一時的措置を使い分ける。
- 改善策ごとに副作用を併記し、収益性、契約者保護、競争力、リスクアペタイトを総合判断する。"
10,生保1,1,所見,2022,問題3（2）,米ドル建一時払終身保険の標準利率の算出方法を円貨建てと比較して説明し、米金利の大幅変動、金融機関代理店の高利回り要請、BBB格事業債運用、競争激化の下での商品改定、予定利率、信用リスク管理を論じる問題。,"【出題の軸】
- 高い外貨利回りを商品魅力としつつ、金利変動・信用・為替・流動性・標準責任準備金の負担を制御する。
【必答論点】
- 外貨建一時払終身の標準利率は、指定された外貨金利を基礎に安全率を適用し、円貨建てとは参照指標・観察方法が異なる。改定頻度と適用時期も商品改定に影響する。
- 予定利率は標準利率、新規投資利回り、ヘッジ・事業費、標準責任準備金の初期積立負担を踏まえる。
- 米金利変動が大きいため、月次等の機動的な予定利率改定、販売量上限、資産購入との同期を検討する。
- 後発競合には、単なる利率競争ではなく、MVA、死亡保障、受取通貨選択、告知簡素化等で差別化する。
- BBB格事業債はスプレッド収益を得る一方、格下げ・デフォルト・集中・売却流動性リスクがある。
- 発行体・業種・年限の分散、与信限度、格付遷移・スプレッドストレス、担保・デリバティブ、ALMを実施する。
【答案構成】
- 標準利率→商品設計→予定利率→競争対応→信用・市場リスク→事後管理の順に書く。
【差がつく論点】
- 顧客が負う為替リスクと会社が負う資産・負債通貨ミスマッチを区別し、募集時の損失説明を徹底する。
- 競争のため予定利率を先に上げ、対応資産を後から購入すると逆ざや・選択的な大量販売が起こるため、資産確保と販売制御を連動させる。"
