id,科目,章,問題種別,年度,問題番号,曜日グループ,問題文,解答,解説
1,生保1,1,小問,,問1,1,①営業保険料設定の際に考慮すべき点の主なものを４つ挙げよ。,"①十分性
一定の保険群団の中において、その群団に入る保険料で、その群団の保険金支払い、経費等のすべてを賄う必要がある。
営業保険料が契約者の直接の収入であることから、保険契約の長期性を踏まえると、営業保険料の十分性が、第一義的に重要である。
②公平性
契約者のために考慮すべき点であり、例えばどのような要素(性別や年齢等)によって保険料を定めるのかといった観点がある。
ただし、完全な公平性を実現する必要はなく、実務の簡素化とのバランスの中で、公平性の問題を考える必要がある。
③収益性
営業保険料決定の際には、収益性についても考慮する必要がある。
ただし、会社形態や配当方式を踏まえ、判断する必要がある。
④標準責任準備金制度との関係
標準基礎率による責任準備金の積立が求められるため、その積立財源を踏まえた営業保険料設定が求められる。特に、契約初期において大きな積み立て負担が発生する場合には、その積立財源をどうするか(その勘定で賄えるか、あるいは他勘定からの立替が必要か)について検討が必要となる。",
2,生保1,1,小問,,問2,1,"①生保標準生命表2018(死亡保険用)の作成過程について､以下の文章の空欄に適切な語句を記入しなさい。
(1)粗死亡率作成の基礎データは､生命保険会社29社から提供を受けた､経過年数【ア】年以下の実績。
(2)【イ】については､死亡率の安定性を確保するために､３【イ】とした｡ただし特定の年齢で死亡率が大きく上振れしている【ウ】の影響を除くため､2008,2009,2011【イ】とした｡なお､若齢および高齢においては6【イ】とした。
(3)【エ】を排除し､死亡率の安全性を確保するために､基礎データの【オ】を実施した｡【オ】年数については､【オ】後の契約件数が【カ】％以上となるように､【キ】別・【ク】別に設定した。
(4)基礎データの観察年度以降の死亡率の改善状況や､米国における標準生命表の作成方法等を踏まえ、粗死亡率に対して標準生命表の適用年までの【ケ】を反映した。
(5)【コ】、【サ】、【シ】という観点から､数学的危険論に基づく第1次補整を行った。
(6)【ス】の補整式によって第2次補整を、【セ】の法則によって第3次補整を行った。
(7)なお､満年齢方式ではなく､【ソ】年齢方式での適用を前提として作成した。","【ア】30 【イ】観察年度　【ウ】東日本大震災　【エ】選択効果
【オ】裁断　【カ】50　【キ】男女　【ク】年齢群団
【ケ】死亡率改善　【コ】単年度のブレヘの対応
【サ】母数(会社規模)の差による違いの吸収　【シ】将来の死亡率変動への対応
【ス】Greville(グレビル） 【セ】ゴムパーツ・メーカム
【ソ】保険",
3,生保1,1,小問,2023,問1,1,"①生保標準生命表2018(死亡保険用)の作成過程について､以下の文章の空欄に適切な語句を記入しなさい。
(1)粗死亡率作成の基礎データは､生命保険会社29社の実績であり､観察年度は【ア】【イ】【ウ】の3観察年度とした｡ただし､若齢および高齢においては6観察年度とした。
（2）基礎データの観察年度以降の死亡率の改善状況や､米国における標準生命表の作成方法等を踏まえ、粗死亡率に標準生命表の適用年までの【エ】を反映した。
(3)【オ】、【カ】、【キ】という観点から､数学的危険論に基づく第'次補整を行っている｡補整に用いる標本の件数分布は､男女各々【ク】件の【ケ】分布とした｡また､補整前死亡率の比に､年齢により極端な差が生じるのを避けるため､第'次補整死亡率は補整前死亡率の【コ】を上限とした。
(4)【サ】を除去し､できるかぎり死亡率曲線を【シ】にすることと同時に､【ス】することを目的とし､【セ】の補整式によって第2次補整を行っている。
(5)高年齢の死亡率は【ソ】であるため､第3次補整として､合理的な方法により作成し､第2次補整死亡率と接続を行った｡第3次補整は【タ】の法則によっている。","【ア】2008 【イ】2009　【ウ】2011 【エ】死亡率改善
【オ】単年度のブレヘの対応　【カ】母数(会社規模)の差による違いの吸収
【キ】将来の死亡率変動への対応　【ク】100万　【ケ】正規 【コ】130％
【サ】偶然変動　【シ】滑らか　【ス】粗死亡率の特徴を維持
【セ】グレピル　【ソ】経過契約件数が少数　【タ】ゴムパーツ･メーカム",
4,生保1,1,小問,,,1,"①生保標準生命表2018(死亡保険用)、第三分野標準生命表2018の作成過程について､以下の文章の空欄に適切な語句を記入しなさい。
(1)生保標準生命表2018(死亡保険用)は､【ア】、【イ】、【ウ】などを勘案し､数学的危険論に基づく補整を行っている｡変動予測に用いる想定件数は､標準的な会社を想定して､男女各々【エ】件としている。
(2)第三分野標準生命表2018では､【オ】を基礎データとした｡第三分野標準生命表2018の数学的危険論による補正においては､補整前死亡率の【カ】を下限､補整前死亡率の【キ】を上限とした｡特に高齢部分の【ウ】を図る観点から､補整後死亡率に上限を設けることとした。
第三分野標準生命表2018は【ク】を含まない死亡率である｡(生保標準生命表2018(死亡保険用)､第三分野標準生命表2007は【ク】を含む死亡率である｡）
（3）基礎データの観察年度以降の死亡率の改善状況や､米国における標準生命表の作成方法等を踏まえ、標準生命表の適用年までの【ケ】を反映した。","【ア】単年度のブレヘの対応　【イ】母数(会社規模)の差による違いの吸収
【ウ】将来の死亡率変動への対応　【エ】100万
【オ】第21回生命表（国民表） 【カ】70％
【キ】85％ 【ク】高度障害　【ケ】死亡率改善",
5,生保1,7,小問,,,1,"①第三分野標準死亡率2018の作成方法について、次の①～⑦に適切な語句または数字を答えなさい。
〔1〕基礎データ
　第三分野標準生命表2007作成時は、特約形式で死亡保障性商品に付加される割合が高く、基礎データを生保標準生命表2007(死亡保険用）とあわせて死亡保険の経験死亡率としたが、第三分野保険の契約形態の変化（主契約・単品化)、死亡保険との診査手法の相違等を踏まえ、【①】を基礎データとした。
〔2〕死亡率改善の反映
・基礎データの年度以降の死亡率の改善状況等を踏まえ、標準生命表の適用年までの死亡率改善を反映している。
・国民死亡率の判明している2015年までの年平均改善率は男性【②】％女性【③】％であり、2015年から標準生命表の適用年である2018年までの年平均改善率は男女共に１％である。
〔3〕第一次補整
　 ｢単年度のブレヘの対応｣、「将来の死亡率変動への対応｣、｢【④】」、｢【⑤】｣という観点から、数学的危険論に基づき、第一次補整を行っている。
．補整に用いる各年齢別の標本の大きさは､男女ごとに【⑥】万人の正規分布の年齢構成を前提としている。ただし、補整前死亡率の70％を下限、補整前死亡率の【⑦】％を上限としている。","①第21回生命表(2010年）(国民表）
②2.5 ③2.0　④母数(会社規模)の差による違いの吸収
⑤基礎データを国民表とすることへの対応
⑥100　⑦85",
6,生保1,1,小問,,,1,"①生保標準生命表2007(年金開始後用)の作成方法について説明せよ。
① 基となる死亡率として、第19回生命表(2000年)の死亡率を用いる。
② 1980年から2000年までの性別・5歳群団別・【ア】の死亡率改善状況を用いて、男女別・5歳群団別に死亡率が1年あたりどれだけの割合で減少していくか(改善率)を求める。
※【イ】の影響がみられる男性45歳～52歳について、改善率の設定時にその影響を除去
③ 今後も②で求めた改善率で毎年死亡率が改善していくとして、将来の死亡率を推定する。推定する「将来」としては、原則として1960年生まれの人が各年齢に達する年とし、第19回生命表の死亡率に、2000年からその「将来」までの年数だけの死亡率の改善を加えたものを、「将来の死亡率」とする。ただし最低でも【ウ】分の死亡率の改善を見込む。
④ ③で求めた将来の死亡率について、高年齢及び若年齢での補外を行う。
⑤ ④で求めた補外後の死亡率について、【エ】への補正を行ったものを年金開始後死亡率とする。(改善率や代表生年の仮定と実際の乖離等への備えとして補外後の死亡率に【オ】を乗じる。)",【ア】死因別　【イ】コーホート効果　【ウ】20年分　【エ】生存リスク方向　【オ】85％,
7,生保1,1,小問,,,1,①生保標準生命表2007(年金開始後用)の作成にあたり、その影響が除去されている「コーホート効果」とは何か。また、日本においてはどのような傾向があると言われているか。,"生まれ育った時代環境によるその世代固有の特徴を「コーホート効果」という。
日本では、昭和一桁世代の男性の死亡率がその前後と比較して高いといわれている。",
8,生保1,1,小問,,,1,"①予定利率の設定に関して、以下の文章の空欄に適切な語句を埋めよ。

・自社の【①】や新規投資の【①】をもとに、自社の将来の【②】の変更の有無や将来の【③】に基づいて決定するのが基本的な考え方であるとされている｡長期にわたる【①】を予測するのは困難であるため､長期の予定利率は【④】なものを採用するのが普通であるとされてきた。
・また､予定利率の設定に関しては､【②】だけではなく､【⑤】とも一体で考慮すべきである。","① 運用利回り　② 運用方針
③ 利回り予想　④ 保守的
⑤ 配当方針",
9,生保1,1,小問,,,1,"①予定利率の設定に関して、以下の文章の空欄に適切な語句を埋めよ。

・【①】の運用利回りや【②】の運用利回りをもとに、【①】の将来の【③】の変更の有無や将来の【④】に基づいて決定するのが基本的な考え方
【③】のほか、【⑤】とも一体で考慮すべきであり、必ずしも保守的でありさえすればよいというものではない。
【⑥】、【⑦】、【⑧】等により、状況が異なる。","① 自社　② 新規投資
③ 運用方針　④ 利回り予想
⑤ 配当方針　⑥ 保険種類
⑦ 保険期間　⑧ 払方",
10,生保1,1,小問,,,2,②付加保険料の設定にあたり考慮すべき観点を、４点挙げよ。,"・群団の運営に必要な経費を全て賄う十分性
・一つの方式でどれだけ多くの保険種類を矛盾なくまとめられるという普遍性、
　その一つの方式の中での保険種類間の公平性
・費用主義と効用主義
・簡明性、実行可能性",
11,生保1,1,小問,,,2,②付加保険料の設定に関し、費用主義と効用主義についてそれぞれ簡潔に説明せよ。,"＜費用主義＞
付加保険料を、実際にかかる経費の型と大きさで賦課しようというもの。
保険種類ごとの実際経費の決定においては、間接費用をどう分担させるかに関して困難が伴う。

＜効用主義＞
保険商品の提供する保障効用ならびに貯蓄効用に比例した付加保険料を課そうというもの。効用とは何か、その指標として何が適当か、が問題となる。",
12,生保1,1,小問,,,2,②α－β－γ方式のメリットを簡潔に説明せよ。,"① 同一保険種類の中では、保険期間、加入年齢に無関係な付加保険料の算式であり、その中では普遍性が保たれている。
② 数少ないパラメータで付加保険料水準を決定するという簡明性がある。
③ 利厳配当方式において、配当率の設定が容易である。
④ 費用主義と効用主義をともに一定程度満たしている。
⑤ 新契約費、維持費、集金費それぞれの支出と予定事業費の対応が取りやすく、収益管理が容易である。",
13,生保1,1,小問,,,2,②2006年2月の保険業法施行規則の改正により､算出方法書の記載事項より予定事業費率に関する事項が削除され､予定事業費に係る具体的詳細な記述は求められないこととなった｡この保険業法施行規則の改正の趣旨について簡潔に述べよ。,"･保険会社の経営効率化への取組み等の経営努力を保険料に適時適切に反映させる観点から、
･保険料のうち保険数理に直接よらない部分を中心に商品審査を簡素化するとともに、
･事業費に関する充実したモニタリングを行うことにより､監督の実効性の向上を図り、
・保険料の合理性･妥当性･公平性を確保した上で､保険商品の価格の弾力化を促進する。

(平成17年11月24日金融庁HP報道発表資料参照）",
14,生保1,1,小問,,,2,②当局によるオフサイトモニタリングの一環として年に1回提出を求められている､予定事業費及び事業費状況に係る､保険会社の業務に関するリスク関連資料を5つ挙げよ。,"･予定事業費等の設定状況
･総合的な充足状況
･イニシャルコストの充足状況
･イニシャルコストの回収状況
･ランニングコストの充足状況",
15,生保1,1,小問,,,2,②保険料率細分化に際して要請される「保険技術的公平性」について、簡潔に説明せよ。,"純保険料決定に際して要請される公平性とは、同一の保険料で保障される被保険者集団は同一の危険度を有するべきであるとする理念を示すものであり、保険技術的公平性と称すべきものである。
十分性は、保険の引受が事業として行われる以上、契約者から支払われる保険料が保険金等が支払いに要する費用を充足するものでなければならないことを要請するものであって、十分性原則によっては、個々の契約者から徴収するべき保険料を決定することはできない。
生命保険は、社会保険を除き、不特定多数の自発的な保険加入に基づくものである以上、保険制度維持のためには、保険料の負担にあたって何らかの意味で公平な取り扱いが要請されることになる。",
16,生保1,1,小問,,,2,②保険料率細分化に際して要請される「社会的公平性」について、簡潔に説明せよ。,"保険事業は、社会性・公共性が要請される事業であることから、料率設定の在り方については、「保険技術的公平性」の観点に加え、それが社会的コンセンサスに合致するものであるかといった観点が必要であり、料率区分が社会的に公平と容認され得ることが「社会的公平性」である。
各国とも、社会政策的観点から、何らかの形で保険料率の区分を規制しており、「保険技術的公平性」は「社会的公平性」の概念の下で達成されるべき理念となっている。",
17,生保1,4,小問,,,2,②通信販売チャネルのコスト体系の特徴について､営業職員チャネルとの違いも含め簡潔に説明しなさい。,"･営業職員が介在しないことに加え､危険選択面で問題のない商品に限定されると考えられるため､募集手当てや危険選択費が他の販売チャネルより軽減される。
･一方､多くの場合､宣伝広告費やコール･センター設営のため､初期に大きな費用が必要となる。
･宣伝広告費やコール･センターに係る費用は固定的なコストであるのに対して､募集手数料は比例的なコストであるため､一定規模以上の新契約高を見込むことができる場合､通販チャネルの方が低コストの販売チャネルとなりうる。",
18,生保1,4,小問,,,2,②通信販売チャネルについて、従来チャネルと比べコストのかかり方が異なることを踏まえ、低コストのチャネルとするための条件を述べよ。,"通信販売の場合、販売手当てが不要となる反面、多くの場合、宣伝広告費やコールセンター設営費用等、多額の固定費用が必要となる。また、危険選択面で問題のない商品が中心となることから、危険選択費も他の販売チャネルと比べ軽減されることとなる。

固定的費用が大きいことから、低コストのチャネルとするためには、一定規模以上の新契約を獲得し、一件あたりのコスト(配賦額)を小さくすることが必要である。",
19,生保1,1,小問,,,3,③保険料の区分にあたって留意すべき事項を８点あげ、それぞれ簡潔に説明せよ。,"① 同質性
料率の区分に用いる要素は、結果的に被保険者集団に同質性をもたらすものであること。
② 分離の必然性
その要素を料率区分を使用することによって、実質的にリスクのレベルに差異をもたらすものであること。
③ 測定可能性
実務的に測定可能であり、信頼できるものであること。また、そのために費用があまりかからないこと。
④ 定義が明確であること
そのクラスに属することが、明確に定義されること。契約当事者双方で納得が得られるものであることが望ましい。
⑤ 将来に向けて予測可能であること
生命保険契約は長期にわたる契約であるものの、一般的に、保険加入時点の情報に基づいて保険料率を決定しているため、契約加入時のその要素が、将来も維持されることの信頼性が必要となる。
⑥ 危険を減少させるインセンティブとなること
その要素の使用が、被保険者をしてリスクを減少させるようなインセンティブをもたらすこと。
⑦ 制御可能性
各被保険者が帰属するその要素が、意図的にコントロールできること。
⑧ 社会的に容認されること
その区分が社会的に容認されるようなものであること。",
20,生保1,4,小問,,,3,③銀行における保険商品の販売において想定される弊害を3つ挙げよ,"① その影響力を行使した販売による弊害
② 銀行等の固有業務を行うことを通じて得られた情報が保険販売に不当に利用される可能性
③ 銀行等が保険商品を販売することにより、保険契約者が保険商品のリスクの所在を誤認する可能性",
